Datetime,Tweet ID,Tweet,Location,Username
2011-12-31 22:19:08+00:00,153238785914699777,"It looks like @Verizon is doing a @BankofAmerica! ""Verizon Reverses on $2 Fee for One-Time Payments"" http://t.co/YM3FSUL0 via @Techland",,BernardLeCroix
2011-12-31 20:23:53+00:00,153209785033035776,@bankofamerica fuck you!,,Lukabuka
2011-12-31 19:05:47+00:00,153190129165545472,@morningmoneyben do you think @verizon realized that the needless fees didn't work so well for @bankofamerica? #anotherwinforthe99%,,whimzikeys
2011-12-31 18:49:25+00:00,153186011957035008,dear @bankofamerica in re: yr last letter stating you haven't recieved my last payment... yes you have.,,lmwies
2011-12-31 18:44:39+00:00,153184810175705088,Went to @bankofamerica Thursday to deposit a check. It was dated Friday. The teller told me he couldn't help me and to come back on Friday.,,MrKenFallon
2011-12-31 18:21:14+00:00,153178917073727488,"@perkstreet no, actually, surprisingly, it is @bankofamerica that comes thru.",,jaf0
2011-12-31 18:19:58+00:00,153178600735129601,@BankofAmerica what time do you guys close today ?,,JustTIA3
2011-12-31 12:22:38+00:00,153088672001036288,Wtf? @bankofamerica charged my savings $118 in extra hidden MAC machine fees $2 and $2 plus the regular atm fee #raped my account! *tears*,,iammiahall
2011-12-31 12:08:09+00:00,153085028123951104,@bankofamerica - honestly charging me for having too many transfers from savings to checking? Just another reason I'm switching to #ally,,THypeSR
2011-12-31 08:35:32+00:00,153031522218283008,@Verizon joins @BankofAmerica #Fail club. Will not impose $2 fee. Thx for gvng me a rsn 2 feel gud abt ATThttp://t.co/17KMz9WI via @9to5mac,,vibhor_chhabra
2011-12-31 05:28:51+00:00,152984538824454144,I just can't believe that @BOA @BankOfAmerica still doesn't have an app that allows you to deposit checks with camera.,,JereSimpson
2011-12-31 04:30:20+00:00,152969816133742592,@BANKOFAMERICA YO DEPOSIT SOME MONEY IN MY CHECKING ACCT B Y'ALL NIGGAS OD RICH LEMME HOLD LIKE 10 RACKS,,THEKIDMERO
2011-12-31 03:48:20+00:00,152959245476823041,😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆😡👆@bankofamerica,,Dani_Sheree_
2011-12-31 03:35:07+00:00,152955919414738945,Yup @bankofamerica 😡 RT @2Hata2Twata Some people just ruin it for everyone #notthebusiness #selfishunfortunately,,Dani_Sheree_
2011-12-31 03:34:54+00:00,152955865685696514,@bankofamerica = clusterf*ck,,jordanpcallais
2011-12-31 02:55:52+00:00,152946039182196736,ugh... @bankofamerica fail:(,,epi_speaks
