Timestamp,Tweet ID,Tweet,Location,Username
2022-04-28 18:43:39+00:00,1519749197897080832,@KristinaDengler @BankofAmerica @MerrillLynch Awesome! Thank you for coming!,"Rochester, NY",FoodlinkNY
2022-04-28 17:38:36+00:00,1519732828002570241,"My teammates &amp; I @BankofAmerica &amp; @MerrillLynch were over the moon excited to be back #volunteering w our friends @FoodlinkNY! In just 1 1/2 hrs we sorted 5 palets of food that will result in over 5,250 meals for families in need in #Rochester #BofAVolunteers #globalservicemonth https://t.co/rrPxFHUeYZ","Rochester, NY",KristinaDengler
2022-04-28 16:12:02+00:00,1519711042384785408,@MerrillLynch does this fool represent you? https://t.co/xB8Jrr476e,,StrangerInASt12
2022-04-28 15:15:51+00:00,1519696904451280897,"Can the clock turn anticlockwise?We are at least at ""slowdown"" with little doubts, but mid-/late-cycle developments and portfolio positioning is always tricky - perhaps less in high inflation as more certain the #Fed will tighten. h/t @MerrillLynch #GDP #stagflation https://t.co/78FGk2arD2",Not advice.,ssinvestments8
2022-04-28 13:34:16+00:00,1519671343117127680,Track record of popular separate account under fire  @Schwab4RIAs @MerrillLynch @MorganStanley @RJAdvisorChoice @WellsFargo @UBS https://t.co/rGMQUNVUqq via @investmentnews,,BenjiWriter
2022-04-28 13:16:03+00:00,1519666755819520002,"After the last race, let’s party like never before at the @MerrillLynch Hot Walk Party in the Member’s Hill Elkridge Club 🪩 All patrons are invited to stay for live music by the talented @kingdaddyband, free hors d’ouevres courtesy of @QcCatering, and a cash bar. https://t.co/Qmj31T43u5","Mineral Springs, NC, USA",Queenscup
2022-04-28 13:10:54+00:00,1519665461067063296,@djcentos6 @MerrillLynch https://t.co/YlHrJYEC17,"San Francisco, CA",simonjlau
2022-04-28 12:19:38+00:00,1519652558373011459,"just as I was hoping you'd team with @MerrillLynch &amp; @BankofAmerica  &amp; buy the USA. OH wait, That's been done all ready. https://t.co/fyOcEsyqsS",Wally World,PardonJAssange
2022-04-28 05:14:59+00:00,1519545690384322560,@djcentos6 @MerrillLynch https://t.co/e0AOaH6iEV,"San Francisco, CA",RolandTan15
2022-04-28 05:03:15+00:00,1519542737518833665,@djcentos6 @MerrillLynch Lol,"San Francisco, CA",Andrew___Baker
2022-04-28 05:00:40+00:00,1519542090845155328,"this is beyond gross, @MerrillLynch, respectfully https://t.co/g69PrPiwyZ","San Francisco, CA",djcentos6
2022-04-27 21:46:30+00:00,1519432826969628675,Hey @MerrillLynch @MerrillEdge I’m spending half my life on hold waiting on hold. WTF? #vanguardiscalling,"New York, NY",DionAlgeri
2022-04-27 21:12:28+00:00,1519424263006175238,@Forbes @MerrillLynch MOVE TO TAMPA BAY FLORIDA,,dave80687601
2022-04-27 18:23:04+00:00,1519381630875545603,@Forbes @MerrillLynch 🤡,,High_Tidez
2022-04-27 16:00:03+00:00,1519345640127582208,Some areas of the fixed income market have seen the worst near-term drawdown in history due to the Fed's hawkish pivot. #markets (@MerrillLynch) https://t.co/DxKet4p3xp https://t.co/3AXXAvbZWL,,MTSInsights
2022-04-27 15:36:47+00:00,1519339785638211584,@CalltoActivism @MerrillLynch How about getting bored togethr?,,Elnor_Rush
