Datetime,Tweet ID,Tweet,Location,Username,Sentiment
2022-03-15 20:19:08+00:00,1503828162236456960,"Banks like @Chase, @Citibank &amp; @BankofAmerica have loaned billions to the fossil fuel industry.But 10K+ customers have taken a stand and are calling them out. Join Customers for Climate Justice to end fossil fuel expansion worldwide.👉 https://t.co/ilQb6i0BhB","Oakland, CA",nancy6368,1
2022-03-15 20:18:12+00:00,1503827926776791055,@KwikWarren And. It was Bank of America. Once again.,,Reply_Now_Pls,2
2022-03-15 20:17:36+00:00,1503827777291620352,Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022 https://t.co/i1ef0SSjvF,,NewsFromBW,2
2022-03-15 20:16:45+00:00,1503827562870579201,@FlyoutChase As opposed to Bank of America,West Staines Massiv,alex_doncea,2
2022-03-15 20:16:44+00:00,1503827559510855685,@randijade04 there wasn't @BankofAmerica,"Ohio, USA",aj_alan05,1
2022-03-15 20:16:29+00:00,1503827496944369665,Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022 https://t.co/zVZJADAbiT,"Las Vegas, NV",CrweWorld,2
2022-03-15 20:16:25+00:00,1503827481081663494,$BAC Bank of America Declares Second Quarter 2022 Preferred Stock Dividendshttps://t.co/zgItzqvIvs,,StockNewsBot2,2
2022-03-15 20:16:24+00:00,1503827476585148418,"Chase, Wells Fargo, Bank of America, and Citibank customers! Are you tired of your money being used to invest in the destruction of our planet? Sign-on to this letter to your bank CEO to demand that your bank stops funding climate chaos: https://t.co/eyYEH57VMQ","Powell River, British Columbia",RiverVoicesfilm,1
2022-03-15 20:16:13+00:00,1503827427402948610,"@BankofAmerica 1 hr plus. Wow, reallly, why don't you hire more people to help your customers?","Brooklyn, NY",BBB65563510,1
2022-03-15 20:16:02+00:00,1503827384663003139,$CW Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022https://t.co/W8ztguKNkQ,,StockNewsBot2,2
2022-03-15 20:15:56+00:00,1503827357542465536,Bank of America Declares Second Quarter 2022 Preferred Stock Dividends https://t.co/F6jbhxDFtW,"Las Vegas, NV",CrweWorld,2
2022-03-15 20:15:52+00:00,1503827341901918210,$BAC 📰 Bank of America Declares Second Quarter 2022 Preferred Stock Dividendshttps://t.co/j2NDRia72v45 seconds delayed.,,quantisnow,2
2022-03-15 20:15:51+00:00,1503827335530762240,$CW 📰 Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022https://t.co/lypGQT6njA45 seconds delayed.,,quantisnow,2
2022-03-15 20:15:40+00:00,1503827291985612801,$BAC Bank of America Declares Second Quarter 2022 Preferred Stock Dividendshttps://t.co/1KkkqMy8Cv#dividends,,stock_titan,2
2022-03-15 20:15:17+00:00,1503827195516620807,$CW Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022https://t.co/rDyhbYscnJ,,stock_titan,2
2022-03-15 20:15:10+00:00,1503827165661609990,@BofA_Help @sarakenny The fact that it takes @BankofAmerica “up to 10 days” to verify a deposit (*any* deposit) in 2022 shows why they need to go out of business as quickly as possible but of course they are #TBTF.,"Bethesda, Maryland",PaulMeloan,1
2022-03-15 20:15:05+00:00,1503827142706147335,First out// $CW: Curtiss-Wright to Participate in Bank of America Global Industrials Conference 2022https://t.co/5OBQgovoBY,US markets 👉,bthefirsttoknow,2
2022-03-15 20:12:41+00:00,1503826539590397961,"Great @DallasNews article about @BankofAmerica team member Manu Kurian, the most active inventor in DFW with 74 patents last year. Manu is making it easier for clients to interact with the Bank. https://t.co/py5strILPU","Dallas, TX",JennLChandler,3
2022-03-15 20:11:04+00:00,1503826134382784514,@RepNewhouse @EPA @USACEHQ Ask Dan about his ties to Bank of America,Thailand,TsuHsu,2
